family,write_rate,rename_count,crypto_calls,processes,registry_ops,network_out
Locky,187,61,297,5,11,3
Locky,174,66,324,5,11,3
Locky,189,62,298,6,12,2
Locky,212,74,320,6,10,3
Locky,180,52,322,5,12,4
Locky,180,67,326,4,9,3
Locky,193,60,273,6,9,2
Locky,175,68,316,6,13,4
Locky,175,61,306,6,8,2
Locky,207,65,292,4,10,2
Locky,161,51,311,6,11,4
Locky,180,80,298,6,8,3
Locky,189,65,290,6,12,3
Locky,162,53,320,6,14,3
Locky,169,63,319,6,11,3
Locky,187,71,308,5,10,3
Locky,168,58,332,5,13,3
Locky,176,59,280,5,10,3
Locky,184,68,330,6,9,2
Locky,180,48,294,5,11,3
Locky,195,60,275,6,12,3
Locky,191,60,302,6,11,3
Locky,170,67,310,5,11,2
Locky,191,76,335,6,12,4
Locky,206,67,296,5,11,3
Locky,175,62,317,6,12,2
Locky,193,61,309,6,9,3
Locky,160,56,303,6,11,2
Locky,182,75,298,6,11,2
Locky,196,63,322,5,11,4
Locky,193,58,296,5,9,3
Locky,191,64,302,6,11,2
Locky,164,70,300,6,10,3
Locky,178,63,303,7,13,3
Locky,172,63,326,6,10,2
Locky,178,66,280,6,12,3
Locky,200,69,275,4,10,2
Locky,201,74,288,5,12,2
Locky,182,65,327,6,13,3
Locky,166,60,263,4,10,3
Locky,188,66,312,5,8,3
Locky,194,58,296,6,11,2
Locky,175,57,319,5,10,3
Locky,171,63,308,4,9,3
Locky,184,61,331,6,12,3
Locky,169,56,287,5,11,2
Locky,181,59,309,4,10,3
Locky,197,64,325,6,9,3
Locky,172,62,301,5,10,2
Locky,183,60,314,4,11,3
Locky,176,67,289,6,10,2
Locky,189,58,305,5,12,3
Locky,178,61,298,4,11,2
Locky,191,63,322,6,10,3
Locky,167,57,284,4,9,2
Locky,185,65,317,5,12,3
Locky,174,59,300,5,11,2
Locky,193,62,330,6,10,3
Locky,180,60,291,4,9,2
Locky,170,64,310,5,11,3
Locky,188,58,303,6,10,2
Locky,177,61,327,5,12,3
Locky,195,66,299,4,9,2
Locky,182,57,315,6,11,3
Locky,173,63,290,5,10,2
Locky,190,60,321,4,12,3
Locky,168,62,307,5,9,2
Locky,186,59,296,6,11,3
Locky,179,65,333,4,10,2
Locky,192,58,304,5,12,3
Locky,171,62,286,4,9,2
Locky,187,60,319,6,11,3
Locky,175,64,297,5,10,2
Locky,194,57,324,4,12,3
Locky,183,63,301,5,9,2
Locky,169,61,316,6,11,3
Locky,196,59,293,5,10,2
Locky,178,66,329,4,12,3
Locky,181,60,311,6,9,2
Locky,191,63,318,5,9,3
Locky,175,58,279,5,10,2
Locky,169,66,311,4,11,3
Locky,185,54,287,6,12,4
Locky,192,61,322,5,9,3
Locky,177,67,305,5,8,2
Locky,163,59,296,4,10,3
Locky,188,64,334,6,11,4
Locky,181,57,309,5,12,3
Locky,172,62,297,5,9,2
Locky,195,65,324,6,10,3
Locky,179,56,289,4,11,3
Locky,166,60,302,5,9,2
Locky,184,63,315,6,12,4
Locky,190,55,291,5,10,3
Locky,173,58,306,4,11,2
Locky,187,66,330,6,12,4
Locky,182,61,299,5,9,3
Locky,168,57,286,4,10,2
Locky,193,64,319,6,11,4
Locky,176,59,301,5,12,3
Locky,165,65,314,4,9,2
Locky,189,62,327,6,11,3
Locky,174,58,293,5,10,2
Locky,180,63,308,5,12,3
Locky,196,55,336,6,11,4
Locky,170,57,284,4,10,2
Locky,183,64,320,6,12,4
Locky,178,60,298,5,9,3
Locky,167,66,309,4,11,2
Locky,191,59,333,6,12,4
Locky,186,62,311,5,10,3
Locky,171,56,288,4,9,2
Locky,194,65,326,6,11,4
Locky,175,58,304,5,12,3
Locky,164,63,292,4,10,2
Locky,188,60,317,6,11,3
